id,subject,unit,term,range,question,choice1,choice2,choice3,choice4,choice5,choice6,choice7,choice8,answer,explanation,tags,difficulty,enabled
leap_ja_0013,英語,英単語 LEAP 和訳,1学期,範囲C,次の英単語の意味として最も適切なものを選びなさい: grateful,感謝している,～を説明する,①（学術）研究 ②～を研究する,①練習 ②実践 ③慣習 ④～を練習する ⑤～を実践する,①運動 ②（複数形）練習 ③運動する ④～を行使する,①その土地の，地元の ②地方の ③ 地元の人,①会社 ②（one's －）一緒にいること ③仲間 ④来客,おそらく,1,grateful は「感謝している」という意味で使われます。 語源メモ: gratus（感謝した）＋-ful（～に満ちている）。,環境,2,true
leap_ja_0014,英語,英単語 LEAP 和訳,1学期,範囲D,次の英単語の意味として最も適切なものを選びなさい: apologize,（to ～）（～に）謝る,～を説明する,①材料，生地 ②資料，教材 ③物質的な ④重大な,①試合，ゲーム〈可算〉 ②獲物〈不可算〉,呼吸する，息をする,①調査〈可算〉 ②～を調査する,仕事〈可算〉,①～に直面する ②〈方向〉～向きである ③顔，体面,1,apologize は「（to ～）（～に）謝る」という意味で使われます。 語源メモ: apology（謝罪）＋-ize（～する）→apologie（弁明）。,IT,2,true
leap_ja_0015,英語,英単語 LEAP 和訳,1学期,範囲E,次の英単語の意味として最も適切なものを選びなさい: excuse,①言い訳 ②～を許す ③（A from B）（B からA）を免除する,①（with ～）（～と）意思の疎通をはかる ②～を伝える,人工的な,～を達成する,①のどが渇いた ②（for ～）（～を）切望して,証拠〈不可算〉,①（金）を稼ぐ，もうける ②（評判など）を得る,～を避ける,1,excuse は「①言い訳 ②～を許す ③（A from B）（B からA）を免除する」という意味で使われます。,経済,2,true
leap_ja_0016,英語,英単語 LEAP 和訳,1学期,範囲A,次の英単語の意味として最も適切なものを選びなさい: celebrate,①～を祝う ②（儀式など）を挙行する，執り行なう,①（意見，気持ち）を表現する ②急行（列車，バス）,電気の，電動の,①（to do）何とかして～する ②～を経営する，管理する,①身体的な ②物理的な,①価値 ②（複数形）価値観 ③お買い得品〈不可算〉 ④～を重んじる,①（身体の部位が）痛む ②（身体，感情）を傷つける,～を解決する,1,celebrate は「①～を祝う ②（儀式など）を挙行する，執り行なう」という意味で使われます。 語源メモ: celeber（大勢の人を収容した）。,経済,2,true
leap_ja_0017,英語,英単語 LEAP 和訳,1学期,範囲B,次の英単語の意味として最も適切なものを選びなさい: admire,～に感心する，称賛する,①約束 ②～を約束する,①～を発明する ②（話など）をでっち上げる,①～を改善する，磨く ②よくなる,①（体温の）熱 ②熱狂,①財宝，宝 ②大事な物［人］ ③（思い出など）を大事にする,①～を痛める ②～をけがさせる,①問題，ごたごた（通例〈不可算〉） ② ～を困らせる,1,admire は「～に感心する，称賛する」という意味で使われます。 語源メモ: ad-（～に [to]）＋miror（驚嘆する）＝「驚嘆すること」。,経済,2,true
leap_ja_0018,英語,英単語 LEAP 和訳,1学期,範囲C,次の英単語の意味として最も適切なものを選びなさい: impress,～に感銘を与える，～を感心させる,情報〈不可算〉,①～を発見する ②（that S V）～を知る，～に気がつく ③（知るという意味で）～に出会う,①～を生産する，産出する ②（見せるために）～を取り出す ③農作物〈不可算〉,①（physical －）体力 ②力,①流行 ②流儀，やり方 ③（手などで）～を作る,①～に損害を与える ②損害，被害〈不可算〉 ③（複数形）賠償金,①問題 ②（雑誌の）号 ③（切手など）を発行する,1,impress は「～に感銘を与える，～を感心させる」という意味で使われます。 語源メモ: in（中に）＋press(押す)。,環境,2,true
leap_ja_0019,英語,英単語 LEAP 和訳,1学期,範囲D,次の英単語の意味として最も適切なものを選びなさい: award,①賞 ②～を授与する,（科学）技術,①発達する ②～を発達させる ③～を開発する ④（話，考え）を発展させる ⑤（病気）にかかる,①～を創造する ②～を引き起こす,①（通例 －s）涙〈可算〉 ②（up）～を引き裂く,①（the －）大衆 ②公の，公共の,①～を（完全に）破壊する ②～を殺す，全滅させる,①（on）～に声援を送る ②（up）～を励ます,1,award は「①賞 ②～を授与する」という意味で使われます。 語源メモ: awarder（決定する）→ex-（外へ）＋wardo（じっと見る）。,経済,2,true
leap_ja_0020,英語,英単語 LEAP 和訳,1学期,範囲E,次の英単語の意味として最も適切なものを選びなさい: describe,～を説明する,①（学術）研究 ②～を研究する,技術，力,①～を確立する，定着させる ②～を設立する,①～の味がする ②～の味をみる ③味 ④好み,①投票（数） ②投票する,①～を台無しにする ②～を破滅させる ③（複数形）廃墟，荒廃,①（A to do）（A）に（～するよう）促す，奨励する ②～を励ます,1,describe は「～を説明する」という意味で使われます。 語源メモ: de「下へ」scribe「書く」＝「書き下す」。,経済,2,true
leap_ja_0021,英語,英単語 LEAP 和訳,1学期,範囲A,次の英単語の意味として最も適切なものを選びなさい: explain,～を説明する,①材料，生地 ②資料，教材 ③物質的な ④重大な,能力,①（時間，手間）を省く ②～を貯金する ③（命など）を救う ④～を除いて（＝except）,①規則 ②～を支配する,政府,危険,①～を支持する ②（家族など）を養う ③（理論など）を立証する ④支持，支援,1,explain は「～を説明する」という意味で使われます。 語源メモ: plain「平ら、飛行機」。,環境,2,true
leap_ja_0022,英語,英単語 LEAP 和訳,1学期,範囲B,次の英単語の意味として最も適切なものを選びなさい: communicate,①（with ～）（～と）意思の疎通をはかる ②～を伝える,人工的な,才能,①（for ～）（～の）薬 ②医学,役割,①国家 ②（the －） 国民,①近所の人 ②（a next-door －）隣の人,①～を妨げる ②～を予防する,1,communicate は「①（with ～）（～と）意思の疎通をはかる ②～を伝える」という意味で使われます。 語源メモ: com「共に」mun「変わる」ate「する」/communis（分かち合う）。,IT,2,true
leap_ja_0023,英語,英単語 LEAP 和訳,1学期,範囲C,次の英単語の意味として最も適切なものを選びなさい: express,①（意見，気持ち）を表現する ②急行（列車，バス）,電気の，電動の,努力,①患者 ②忍耐強い,習慣，癖,①首都 ②資本 ③重大な，死に値する,聴衆，観客,①～を否定する ②〈S V O1 O2〉（O1）に（O2を）与えない,1,express は「①（意見，気持ち）を表現する ②急行（列車，バス）」という意味で使われます。 語源メモ: ex「外へ」press「押す」＝「物や感情を押し出す」。,IT,2,true
leap_ja_0024,英語,英単語 LEAP 和訳,1学期,範囲D,次の英単語の意味として最も適切なものを選びなさい: promise,①約束 ②～を約束する,①～を発明する ②（話など）をでっち上げる,①練習 ②実践 ③慣習 ④～を練習する ⑤～を実践する,①状態，容態 ②（通例 －s）（周囲の）状況，条件,①習慣 ②（複数形）税関,①州 ②状態 ③国家 ④（意見，情報）を述べる,群衆,（A to do）（A）に［が］（～することを）可能にする,1,promise は「①約束 ②～を約束する」という意味で使われます。 語源メモ: pro-「前に、前もって、代わりの」、mise「送る」。,経済,2,true
leap_ja_0025,英語,英単語 LEAP 和訳,1学期,範囲E,次の英単語の意味として最も適切なものを選びなさい: information,情報〈不可算〉,①～を発見する ②（that S V）～を知る，～に気がつく ③（知るという意味で）～に出会う,①試合，ゲーム〈可算〉 ②獲物〈不可算〉,①医療の ②医学の,伝統,政治的な，政治の,①著者 ②作家,①（in ～）（～に）成功する ②（to ～）（家業などを）継ぐ,1,information は「情報〈不可算〉」という意味で使われます。 語源メモ: -ation「すること、するもの」、-tion「こと、もの」。,IT,2,true
leap_ja_0026,英語,英単語 LEAP 和訳,1学期,範囲A,次の英単語の意味として最も適切なものを選びなさい: technology,（科学）技術,①発達する ②～を発達させる ③～を開発する ④（話，考え）を発展させる ⑤（病気）にかかる,～を達成する,①ストレス ②（on ～）（～に対する）強調 ③～を強調する,①社会〈不可算〉 ②（ある具体的な）社会〈可算〉 ③（one's －）～と同席すること ④協会,①価格 ②（複数形）物価 ③代償,（集合的に）職員，従業員,①～を逃す ②～を休む ③～を恋しく思う,1,technology は「（科学）技術」という意味で使われます。 語源メモ: tekhne（技術）＋-logia（研究）→tek-（織る）。,IT,2,true
leap_ja_0027,英語,英単語 LEAP 和訳,1学期,範囲B,次の英単語の意味として最も適切なものを選びなさい: research,①（学術）研究 ②～を研究する,技術，力,①（to do）何とかして～する ②～を経営する，管理する,①（from ～）（病気などで）苦しむ ②（苦痛，損害）を経験する,①（the－）（集合的に）法律，国法 ②（個々の）法律 ③（科学などの）法則,①（費用）を要する，～がかかる ②～を犠牲にする ③費用，犠牲,①〈米〉店員 ②事務員，社員,①（in［at］～）（～に）失敗する ②（to do）～できない ③（試験）に落ちる ④（人）に役に立たない,1,research は「①（学術）研究 ②～を研究する」という意味で使われます。 語源メモ: re-（強調）＋search（探す）→?circo（歩き回る）。,IT,2,true
leap_ja_0028,英語,英単語 LEAP 和訳,1学期,範囲C,次の英単語の意味として最も適切なものを選びなさい: material,①材料，生地 ②資料，教材 ③物質的な ④重大な,能力,①～を改善する，磨く ②よくなる,①運動 ②（複数形）練習 ③運動する ④～を行使する,祖先,①（修飾語を伴って）金額 ②合計 ③（簡単な）計算 ④（up）～を要約する,客,①間違い ②（A for B）（A）を（B と）間違える,1,material は「①材料，生地 ②資料，教材 ③物質的な ④重大な」という意味で使われます。 語源メモ: materia（物質）→mater（源）＋-ia（こと）→mehter（母）。,IT,2,true
leap_ja_0029,英語,英単語 LEAP 和訳,1学期,範囲D,次の英単語の意味として最も適切なものを選びなさい: artificial,人工的な,才能,①～を生産する，産出する ②（見せるために）～を取り出す ③農作物〈不可算〉,呼吸する，息をする,①人口，個体数 ②（一定の地域に住む）住民,予算,乗客,①～を調べる ②～を阻止する ③小切手 ④勘定書 ⑤検査，点検 ⑥抑制,1,"artificial は「人工的な」という意味で使われます。 語源メモ: ars ""技術"" + fex ""作る人""。",IT,2,true
leap_ja_0030,英語,英単語 LEAP 和訳,1学期,範囲E,次の英単語の意味として最も適切なものを選びなさい: electric,電気の，電動の,努力,①～を創造する ②～を引き起こす,①のどが渇いた ②（for ～）（～を）切望して,①母国の，その土地の ②（ある土地の）生まれの人,①（会費，遊園地などの）料金 ②（専門職への）謝礼,①年配の ②（the －）年配の人々,①～を隠す ②隠れる,1,electric は「電気の，電動の」という意味で使われます。 語源メモ: electr「電気、琥珀」。,環境,2,true
leap_ja_0031,英語,英単語 LEAP 和訳,1学期,範囲A,次の英単語の意味として最も適切なものを選びなさい: invent,①～を発明する ②（話など）をでっち上げる,①練習 ②実践 ③慣習 ④～を練習する ⑤～を実践する,①～を確立する，定着させる ②～を設立する,①身体的な ②物理的な,海外へ，海外で,運賃,①女性の ②（動物）雌の ③女性，雌,①（線で絵など）を描く ②（注意）を引く ③ ～を引っ張る，集める,1,invent は「①～を発明する ②（話など）をでっち上げる」という意味で使われます。 語源メモ: vent「来る」。,環境,2,true
leap_ja_0032,英語,英単語 LEAP 和訳,1学期,範囲B,次の英単語の意味として最も適切なものを選びなさい: discover,①～を発見する ②（that S V）～を知る，～に気がつく ③（知るという意味で）～に出会う,①試合，ゲーム〈可算〉 ②獲物〈不可算〉,①（時間，手間）を省く ②～を貯金する ③（命など）を救う ④～を除いて（＝except）,①（体温の）熱 ②熱狂,①その土地の，地元の ②地方の ③ 地元の人,①勘定 ②請求書 ③〈米〉紙幣 ④法案,①向かう ②～を率いる,①（クラブ，団体など）に加わる ②～をつなぐ ③（食事などを）～とともにする ④（議論，活動などに）参加する,1,discover は「①～を発見する ②（that S V）～を知る，～に気がつく ③（知るという意味で）～に出会う」という意味で使われます。 語源メモ: dis-「否定、離れて、強意」。,経済,2,true
leap_ja_0033,英語,英単語 LEAP 和訳,1学期,範囲C,次の英単語の意味として最も適切なものを選びなさい: develop,①発達する ②～を発達させる ③～を開発する ④（話，考え）を発展させる ⑤（病気）にかかる,～を達成する,①（for ～）（～の）薬 ②医学,①（physical －）体力 ②力,①調査〈可算〉 ②～を調査する,①貿易 ②（the ～ trade）～業 ③商売 ④～を交換する,①～の後について行く，～に続く ②（忠告，方針など）に従う,①～を投げる ②（away［out］）～を捨てる ③（パーティなど）を催す ④投げること,1,develop は「①発達する ②～を発達させる ③～を開発する ④（話，考え）を発展させる ⑤（病気）にかかる」という意味で使われます。,IT,2,true
leap_ja_0034,英語,英単語 LEAP 和訳,1学期,範囲D,次の英単語の意味として最も適切なものを選びなさい: skill,技術，力,①（to do）何とかして～する ②～を経営する，管理する,①患者 ②忍耐強い,①（通例 －s）涙〈可算〉 ②（up）～を引き裂く,証拠〈不可算〉,①富，財産〈不可算〉 ②（a － of ～）豊富な～,歩き回る，さまよう,①（機械など）を操作する ②手術する ③（機械などが）作動する，（組織が）運営される,1,skill は「技術，力」という意味で使われます。 語源メモ: 古ノルド語 skil（優れた識別能力）→skilja（区別）→skelH-（切り分ける）。,環境,2,true
leap_ja_0035,英語,英単語 LEAP 和訳,1学期,範囲E,次の英単語の意味として最も適切なものを選びなさい: ability,能力,①～を改善する，磨く ②よくなる,①状態，容態 ②（通例 －s）（周囲の）状況，条件,①～の味がする ②～の味をみる ③味 ④好み,①価値 ②（複数形）価値観 ③お買い得品〈不可算〉 ④～を重んじる,①経済 ②節約,①旅行する，移動する ②（光，音などが）進む,①～を修理する ② ～を修復する ③ 修理，修復,1,ability は「能力」という意味で使われます。,環境,2,true
leap_ja_0036,英語,英単語 LEAP 和訳,1学期,範囲A,次の英単語の意味として最も適切なものを選びなさい: talent,才能,①～を生産する，産出する ②（見せるために）～を取り出す ③農作物〈不可算〉,①医療の ②医学の,①規則 ②～を支配する,①財宝，宝 ②大事な物［人］ ③（思い出など）を大事にする,①会社 ②（one's －）一緒にいること ③仲間 ④来客,①～を通り過ぎる ②～を抜く ③（試験）に受かる ④（（人）A）（人）に（A を）渡す ⑤（時が）過ぎる ⑥通行証,①～を縫う ②（on）（ボタンなど）を縫いつける,1,talent は「才能」という意味で使われます。,環境,2,true
leap_ja_0037,英語,英単語 LEAP 和訳,1学期,範囲B,次の英単語の意味として最も適切なものを選びなさい: effort,努力,①～を創造する ②～を引き起こす,①ストレス ②（on ～）（～に対する）強調 ③～を強調する,役割,①流行 ②流儀，やり方 ③（手などで）～を作る,仕事〈可算〉,①（to do）～しそうだ，可能性が高い ②おそらく,① ～を上げる ②（子ども，作物）を育てる ③（お金，資金）を集める ④（問題）を提起する ⑤賃上げ，昇給,1,effort は「努力」という意味で使われます。 語源メモ: fort「運ぶ」。,IT,2,true
leap_ja_0038,英語,英単語 LEAP 和訳,1学期,範囲C,次の英単語の意味として最も適切なものを選びなさい: practice,①練習 ②実践 ③慣習 ④～を練習する ⑤～を実践する,①～を確立する，定着させる ②～を設立する,①（from ～）（病気などで）苦しむ ②（苦痛，損害）を経験する,習慣，癖,①（the －）大衆 ②公の，公共の,①（金）を稼ぐ，もうける ②（評判など）を得る,①当然の ②自然の ③生まれながらの,①（飲食物）を出す ②～に役立つ ③ 役立つ,1,practice は「①練習 ②実践 ③慣習 ④～を練習する ⑤～を実践する」という意味で使われます。 語源メモ: ギリシャ語 praktikos （実践的な）。,環境,2,true
leap_ja_0039,英語,英単語 LEAP 和訳,1学期,範囲D,次の英単語の意味として最も適切なものを選びなさい: game,①試合，ゲーム〈可算〉 ②獲物〈不可算〉,①（時間，手間）を省く ②～を貯金する ③（命など）を救う ④～を除いて（＝except）,①運動 ②（複数形）練習 ③運動する ④～を行使する,①習慣 ②（複数形）税関,①投票（数） ②投票する,①（身体の部位が）痛む ②（身体，感情）を傷つける,①確かな ②（名詞の前で）ある～,①～を注ぐ ②降りそそぐ,1,game は「①試合，ゲーム〈可算〉 ②獲物〈不可算〉」という意味で使われます。,経済,2,true
leap_ja_0040,英語,英単語 LEAP 和訳,1学期,範囲E,次の英単語の意味として最も適切なものを選びなさい: achieve,～を達成する,①（for ～）（～の）薬 ②医学,呼吸する，息をする,伝統,政府,①～を痛める ②～をけがさせる,おそらく,①～をこぼす ②（石油などの）流出,1,achieve は「～を達成する」という意味で使われます。 語源メモ: ラテン語 ad-（方へ）＋caput（頭）。,経済,2,true
leap_ja_0041,英語,英単語 LEAP 和訳,1学期,範囲A,次の英単語の意味として最も適切なものを選びなさい: manage,①（to do）何とかして～する ②～を経営する，管理する,①患者 ②忍耐強い,①のどが渇いた ②（for ～）（～を）切望して,①社会〈不可算〉 ②（ある具体的な）社会〈可算〉 ③（one's －）～と同席すること ④協会,①国家 ②（the －） 国民,①～に損害を与える ②損害，被害〈不可算〉 ③（複数形）賠償金,①～に直面する ②〈方向〉～向きである ③顔，体面,（to do / that S V）（～する/ ～である）ふりをする,1,manage は「①（to do）何とかして～する ②～を経営する，管理する」という意味で使われます。 語源メモ: manege（馬の手綱捌き）→mano（操縦する）→manus（手）。,経済,2,true
leap_ja_0042,英語,英単語 LEAP 和訳,1学期,範囲B,次の英単語の意味として最も適切なものを選びなさい: improve,①～を改善する，磨く ②よくなる,①状態，容態 ②（通例 －s）（周囲の）状況，条件,①身体的な ②物理的な,①（the－）（集合的に）法律，国法 ②（個々の）法律 ③（科学などの）法則,①首都 ②資本 ③重大な，死に値する,①～を（完全に）破壊する ②～を殺す，全滅させる,～を避ける,ふるまう,1,improve は「①～を改善する，磨く ②よくなる」という意味で使われます。 語源メモ: im「その方向へ」prou「利益」。,経済,2,true
leap_ja_0043,英語,英単語 LEAP 和訳,1学期,範囲C,次の英単語の意味として最も適切なものを選びなさい: produce,①～を生産する，産出する ②（見せるために）～を取り出す ③農作物〈不可算〉,①医療の ②医学の,①（体温の）熱 ②熱狂,祖先,①州 ②状態 ③国家 ④（意見，情報）を述べる,①～を台無しにする ②～を破滅させる ③（複数形）廃墟，荒廃,～を解決する,①（can －）～に耐える ②～を持つ ③～を産む,1,produce は「①～を生産する，産出する ②（見せるために）～を取り出す ③農作物〈不可算〉」という意味で使われます。 語源メモ: 前へ（pro-）導く（duco）こと。,経済,2,true
leap_ja_0044,英語,英単語 LEAP 和訳,1学期,範囲D,次の英単語の意味として最も適切なものを選びなさい: create,①～を創造する ②～を引き起こす,①ストレス ②（on ～）（～に対する）強調 ③～を強調する,①（physical －）体力 ②力,①人口，個体数 ②（一定の地域に住む）住民,政治的な，政治の,危険,①問題，ごたごた（通例〈不可算〉） ② ～を困らせる,①～を探検する，（街など）を探索する ②（問題など）を探る,1,create は「①～を創造する ②～を引き起こす」という意味で使われます。 語源メモ: ラテン語 creo（作り出す；生む）。,IT,2,true
leap_ja_0045,英語,英単語 LEAP 和訳,1学期,範囲E,次の英単語の意味として最も適切なものを選びなさい: establish,①～を確立する，定着させる ②～を設立する,①（from ～）（病気などで）苦しむ ②（苦痛，損害）を経験する,①（通例 －s）涙〈可算〉 ②（up）～を引き裂く,①母国の，その土地の ②（ある土地の）生まれの人,①価格 ②（複数形）物価 ③代償,①近所の人 ②（a next-door －）隣の人,①問題 ②（雑誌の）号 ③（切手など）を発行する,①（to ～）（～に）起こる ②（to do）偶然～する,1,establish は「①～を確立する，定着させる ②～を設立する」という意味で使われます。 語源メモ: e+ st「立つ」。,経済,2,true
leap_ja_0046,英語,英単語 LEAP 和訳,1学期,範囲A,次の英単語の意味として最も適切なものを選びなさい: save,①（時間，手間）を省く ②～を貯金する ③（命など）を救う ④～を除いて（＝except）,①運動 ②（複数形）練習 ③運動する ④～を行使する,①～の味がする ②～の味をみる ③味 ④好み,海外へ，海外で,①（費用）を要する，～がかかる ②～を犠牲にする ③費用，犠牲,聴衆，観客,①（on）～に声援を送る ②（up）～を励ます,①現れる ②（to be ～）～のように思える,1,save は「①（時間，手間）を省く ②～を貯金する ③（命など）を救う ④～を除いて（＝except）」という意味で使われます。,経済,2,true
leap_ja_0047,英語,英単語 LEAP 和訳,1学期,範囲B,次の英単語の意味として最も適切なものを選びなさい: medicine,①（for ～）（～の）薬 ②医学,呼吸する，息をする,①規則 ②～を支配する,①その土地の，地元の ②地方の ③ 地元の人,①（修飾語を伴って）金額 ②合計 ③（簡単な）計算 ④（up）～を要約する,群衆,①（A to do）（A）に（～するよう）促す，奨励する ②～を励ます,①～のままでいる ②残る,1,medicine は「①（for ～）（～の）薬 ②医学」という意味で使われます。 語源メモ: medeor（治癒する）＋-icus（～している）→med-（助言する）。,経済,2,true
leap_ja_0048,英語,英単語 LEAP 和訳,1学期,範囲C,次の英単語の意味として最も適切なものを選びなさい: patient,①患者 ②忍耐強い,①のどが渇いた ②（for ～）（～を）切望して,役割,①調査〈可算〉 ②～を調査する,予算,①著者 ②作家,①～を支持する ②（家族など）を養う ③（理論など）を立証する ④支持，支援,①生き残る ②～から生き延びる，～の後も存続する,1,patient は「①患者 ②忍耐強い」という意味で使われます。 語源メモ: ラテン語L.patior/pati「(精神的に)苦しむ」。,IT,2,true
